"scen","country","iso3n","period","cob","sex","agegr","edu3","edu_names3","pop","imm","emi"
"Medium","Austria",40,"2030-2034","EU","Female","0-19","e6","High",181,2223,885
"Medium","Austria",40,"2030-2034","EU","Female","20-39","e4","Low",22849,380,66
"Medium","Austria",40,"2030-2034","EU","Female","20-39","e5","Middle",35962,3493,1315
"Medium","Austria",40,"2030-2034","EU","Female","20-39","e6","High",43053,8601,5277
"Medium","Austria",40,"2030-2034","EU","Female","40-64","e4","Low",56607,731,292
"Medium","Austria",40,"2030-2034","EU","Female","40-64","e5","Middle",78852,2316,1613
"Medium","Austria",40,"2030-2034","EU","Female","40-64","e6","High",76066,4260,3775
"Medium","Austria",40,"2030-2034","EU","Female","65+","e4","Low",24905,278,207
"Medium","Austria",40,"2030-2034","EU","Female","65+","e5","Middle",43999,724,699
"Medium","Austria",40,"2030-2034","EU","Female","65+","e6","High",27843,809,828
"Medium","Austria",40,"2030-2034","EU","Male","0-19","e4","Low",13625,1433,550
"Medium","Austria",40,"2030-2034","EU","Male","0-19","e5","Middle",2161,2408,1010
"Medium","Austria",40,"2030-2034","EU","Male","0-19","e6","High",111,1101,399
"Medium","Austria",40,"2030-2034","EU","Male","20-39","e4","Low",28111,530,142
"Medium","Austria",40,"2030-2034","EU","Male","20-39","e5","Middle",39092,3934,1727
"Medium","Austria",40,"2030-2034","EU","Male","20-39","e6","High",31698,7274,4131
"Medium","Austria",40,"2030-2034","EU","Male","40-64","e4","Low",54903,759,243
"Medium","Austria",40,"2030-2034","EU","Male","40-64","e5","Middle",78387,2156,1691
"Medium","Austria",40,"2030-2034","EU","Male","40-64","e6","High",59950,3901,3147
"Medium","Austria",40,"2030-2034","EU","Male","65+","e4","Low",12032,173,73
"Medium","Austria",40,"2030-2034","EU","Male","65+","e5","Middle",31914,506,625
"Medium","Austria",40,"2030-2034","EU","Male","65+","e6","High",26062,740,770
"Medium","Austria",40,"2030-2034","NAT","Female","0-19","e4","Low",396504,160,48
"Medium","Austria",40,"2030-2034","NAT","Female","0-19","e5","Middle",201563,352,143
"Medium","Austria",40,"2030-2034","NAT","Female","0-19","e6","High",194709,586,245
"Medium","Austria",40,"2030-2034","NAT","Female","20-39","e4","Low",58395,123,23
"Medium","Austria",40,"2030-2034","NAT","Female","20-39","e5","Middle",266325,788,306
"Medium","Austria",40,"2030-2034","NAT","Female","20-39","e6","High",456405,2204,1377
"Medium","Austria",40,"2030-2034","NAT","Female","40-64","e4","Low",114375,290,121
"Medium","Austria",40,"2030-2034","NAT","Female","40-64","e5","Middle",480490,617,437
"Medium","Austria",40,"2030-2034","NAT","Female","40-64","e6","High",479536,1619,1462
"Medium","Austria",40,"2030-2034","NAT","Female","65+","e4","Low",288121,160,120
"Medium","Austria",40,"2030-2034","NAT","Female","65+","e5","Middle",501564,262,252
"Medium","Austria",40,"2030-2034","NAT","Female","65+","e6","High",201870,443,451
"Medium","Austria",40,"2030-2034","NAT","Male","0-19","e4","Low",438821,177,61
"Medium","Austria",40,"2030-2034","NAT","Male","0-19","e5","Middle",197745,412,170
"Medium","Austria",40,"2030-2034","NAT","Male","0-19","e6","High",202377,335,135
"Medium","Austria",40,"2030-2034","NAT","Male","20-39","e4","Low",113172,164,46
"Medium","Austria",40,"2030-2034","NAT","Male","20-39","e5","Middle",370984,831,372
"Medium","Austria",40,"2030-2034","NAT","Male","20-39","e6","High",332258,1977,1148
"Medium","Austria",40,"2030-2034","NAT","Male","40-64","e4","Low",83401,278,90
"Medium","Austria",40,"2030-2034","NAT","Male","40-64","e5","Middle",579069,534,428
"Medium","Austria",40,"2030-2034","NAT","Male","40-64","e6","High",430022,1587,1305
"Medium","Austria",40,"2030-2034","NAT","Male","65+","e4","Low",79965,117,50
"Medium","Austria",40,"2030-2034","NAT","Male","65+","e5","Middle",481936,191,236
"Medium","Austria",40,"2030-2034","NAT","Male","65+","e6","High",246171,416,432
"Medium","Austria",40,"2030-2034","NEU","Female","0-19","e4","Low",21500,10625,2466
"Medium","Austria",40,"2030-2034","NEU","Female","0-19","e5","Middle",4577,8660,3563
"Medium","Austria",40,"2030-2034","NEU","Female","0-19","e6","High",131,6036,2402
"Medium","Austria",40,"2030-2034","NEU","Female","20-39","e4","Low",42340,6762,1056
"Medium","Austria",40,"2030-2034","NEU","Female","20-39","e5","Middle",50002,12768,4705
"Medium","Austria",40,"2030-2034","NEU","Female","20-39","e6","High",46149,17692,10787
"Medium","Austria",40,"2030-2034","NEU","Female","40-64","e4","Low",125838,4674,1773
"Medium","Austria",40,"2030-2034","NEU","Female","40-64","e5","Middle",78370,4636,3076
"Medium","Austria",40,"2030-2034","NEU","Female","40-64","e6","High",62166,6113,5327
"Medium","Austria",40,"2030-2034","NEU","Female","65+","e4","Low",65327,961,707
"Medium","Austria",40,"2030-2034","NEU","Female","65+","e5","Middle",25081,1003,970
"Medium","Austria",40,"2030-2034","NEU","Female","65+","e6","High",16729,1020,1046
"Medium","Austria",40,"2030-2034","NEU","Male","0-19","e4","Low",22904,10562,2809
"Medium","Austria",40,"2030-2034","NEU","Male","0-19","e5","Middle",3814,9315,3780
"Medium","Austria",40,"2030-2034","NEU","Male","0-19","e6","High",112,4496,1628
"Medium","Austria",40,"2030-2034","NEU","Male","20-39","e4","Low",59593,6617,1682
"Medium","Austria",40,"2030-2034","NEU","Male","20-39","e5","Middle",52061,12240,5323
"Medium","Austria",40,"2030-2034","NEU","Male","20-39","e6","High",41769,17697,9893
"Medium","Austria",40,"2030-2034","NEU","Male","40-64","e4","Low",114509,4218,1359
"Medium","Austria",40,"2030-2034","NEU","Male","40-64","e5","Middle",91333,4361,3273
"Medium","Austria",40,"2030-2034","NEU","Male","40-64","e6","High",54431,6188,4901
"Medium","Austria",40,"2030-2034","NEU","Male","65+","e4","Low",42690,682,285
"Medium","Austria",40,"2030-2034","NEU","Male","65+","e5","Middle",35158,732,905
"Medium","Austria",40,"2030-2034","NEU","Male","65+","e6","High",17593,1046,1091
"Medium","Austria",40,"2035-2039","EU","Female","0-19","e4","Low",4695,1061,354
"Medium","Austria",40,"2035-2039","EU","Female","0-19","e5","Middle",1903,1884,770
"Medium","Austria",40,"2035-2039","EU","Female","0-19","e6","High",103,2140,902
"Medium","Austria",40,"2035-2039","EU","Female","20-39","e4","Low",17071,230,30
"Medium","Austria",40,"2035-2039","EU","Female","20-39","e5","Middle",27015,3088,1008
"Medium","Austria",40,"2035-2039","EU","Female","20-39","e6","High",35415,8234,4817
"Medium","Austria",40,"2035-2039","EU","Female","40-64","e4","Low",56107,578,203
"Medium","Austria",40,"2035-2039","EU","Female","40-64","e5","Middle",77529,2113,1321
"Medium","Austria",40,"2035-2039","EU","Female","40-64","e6","High",82497,4381,3745
"Medium","Austria",40,"2035-2039","EU","Female","65+","e4","Low",29059,247,167
"Medium","Austria",40,"2035-2039","EU","Female","65+","e5","Middle",50802,721,739
"Medium","Austria",40,"2035-2039","EU","Female","65+","e6","High",35222,927,1035
"Medium","Austria",40,"2035-2039","EU","Male","0-19","e4","Low",5047,1091,416
"Medium","Austria",40,"2035-2039","EU","Male","0-19","e5","Middle",1607,2130,890
"Medium","Austria",40,"2035-2039","EU","Male","0-19","e6","High",62,1041,396
