"orig","dest","year5","age","sex","education","flow"
"AUT","BEL",2015,"20-39","Female","High",155.402126333085
"AUT","BEL",2015,"20-39","Female","Low",60.8667472399151
"AUT","BEL",2015,"20-39","Female","Middle",272.117079948978
"AUT","BEL",2015,"20-39","Male","High",180.919777122445
"AUT","BEL",2015,"20-39","Male","Low",58.3159536706014
"AUT","BEL",2015,"20-39","Male","Middle",239.680848942252
"AUT","BEL",2015,"40-64","Female","High",45.4403256612772
"AUT","BEL",2015,"40-64","Female","Low",44.0868680456894
"AUT","BEL",2015,"40-64","Female","Middle",80.230080380376
"AUT","BEL",2015,"40-64","Male","High",59.1916885409929
"AUT","BEL",2015,"40-64","Male","Low",46.5188135815453
"AUT","BEL",2015,"40-64","Male","Middle",88.4723522041365
"AUT","BEL",2015,"65+","Female","High",5.05128864844443
"AUT","BEL",2015,"65+","Female","Low",7.82124872198134
"AUT","BEL",2015,"65+","Female","Middle",8.05773553327675
"AUT","BEL",2015,"65+","Male","High",5.01795489040226
"AUT","BEL",2015,"65+","Male","Low",8.9443969737958
"AUT","BEL",2015,"65+","Male","Middle",8.38406456044715
"AUT","BGR",2000,"0-19","Female","High",0.0109810767536113
"AUT","BGR",2000,"0-19","Female","Low",60.3933103096402
"AUT","BGR",2000,"0-19","Female","Middle",28.893402047742
"AUT","BGR",2000,"0-19","Male","High",0.01908444823131
"AUT","BGR",2000,"0-19","Male","Low",69.7839465596454
"AUT","BGR",2000,"0-19","Male","Middle",30.9890171827392
"AUT","BGR",2000,"20-39","Female","High",152.29568954448
"AUT","BGR",2000,"20-39","Female","Low",144.387816225484
"AUT","BGR",2000,"20-39","Female","Middle",321.159406082535
"AUT","BGR",2000,"20-39","Male","High",174.414288138263
"AUT","BGR",2000,"20-39","Male","Low",166.030125132924
"AUT","BGR",2000,"20-39","Male","Middle",441.329638391673
"AUT","BGR",2000,"40-64","Female","High",67.1232465495413
"AUT","BGR",2000,"40-64","Female","Low",58.6601086970877
"AUT","BGR",2000,"40-64","Female","Middle",115.327155373094
"AUT","BGR",2000,"40-64","Male","High",87.7305000997572
"AUT","BGR",2000,"40-64","Male","Low",67.4959960841651
"AUT","BGR",2000,"40-64","Male","Middle",156.035195463145
"AUT","BGR",2000,"65+","Female","High",4.87205709884662
"AUT","BGR",2000,"65+","Female","Low",8.99840656038737
"AUT","BGR",2000,"65+","Female","Middle",12.9331734743095
"AUT","BGR",2000,"65+","Male","High",8.60010170615142
"AUT","BGR",2000,"65+","Male","Low",10.0057335604602
"AUT","BGR",2000,"65+","Male","Middle",15.778217524135
"AUT","BGR",2005,"0-19","Female","High",0.00974446531115947
"AUT","BGR",2005,"0-19","Female","Low",116.9038419403
"AUT","BGR",2005,"0-19","Female","Middle",46.0241273185861
"AUT","BGR",2005,"0-19","Male","High",0.0237015125994322
"AUT","BGR",2005,"0-19","Male","Low",151.619369618796
"AUT","BGR",2005,"0-19","Male","Middle",56.6028536082759
